Mean Variance AutoCorreDistance
0.755289 0.228030 0.732245
1.048552 0.154974 0.732245
0.891862 0.229166 0.732245
1.105751 0.115684 0.732245
0.976391 0.045599 0.732245
1.097540 0.105844 0.732245
1.019325 0.069059 0.732245
1.115667 0.098642 0.732245
1.043103 0.106899 0.819046
1.125778 0.125359 0.970282
1.047797 0.144986 0.970282
1.113749 0.126262 0.970282
1.050640 0.056786 0.970282
1.193967 0.316186 0.970282
1.058450 0.106458 0.970282
0.889661 0.102070 0.970282
1.072647 0.075399 0.981177
0.998944 0.100675 1.046708
1.105189 0.078774 1.046708
0.962817 0.147560 1.029649
1.200823 0.175387 1.029649
1.050869 0.151008 1.029649
1.324789 0.255519 1.029649
0.847223 0.138993 0.952642
1.332938 0.169261 0.836683
1.180395 0.126519 0.836683
1.256105 0.129236 1.014658
1.021471 0.060577 0.966241
1.152399 0.131806 0.966241
0.973027 0.093663 0.966241
1.137624 0.358470 0.989053
0.854344 0.161321 0.989053
1.120784 0.186779 0.989053
0.850677 0.150185 1.003771
1.065711 0.378705 1.003771
0.694739 0.190535 1.003771
1.259661 0.103069 1.004455
0.842772 0.110912 0.979528
1.029385 0.173205 0.968102
0.831875 0.109746 1.224069
1.068470 0.088970 1.224069
0.940930 0.160331 1.224069
1.111801 0.088849 1.224069
0.987853 0.224123 1.353764
1.148464 0.129934 0.698719
1.027782 0.128545 0.698719
1.144472 0.098689 0.698719
1.049948 0.094904 0.698719
1.126805 0.067223 0.698719
1.059972 0.102875 0.698719
1.105726 0.086973 1.670409
1.036278 0.108032 0.074492
1.033811 0.127960 0.074492
1.076732 0.159616 0.074492
1.013564 0.129917 0.074492
1.100438 0.196610 0.074492
1.299930 0.107688 0.074492
1.145908 0.051127 0.074492
1.045411 0.155876 0.074492
1.274627 0.093836 0.074492
1.154364 0.135846 0.074492
1.355555 0.184219 0.074492
1.130543 0.129605 0.074492
1.303739 0.108702 0.074492
1.121618 0.048942 0.074492
1.172838 0.128472 0.074492
1.016678 0.173187 0.074492
1.201088 0.118164 0.074492
0.978225 0.089737 0.074492
1.134343 0.080579 0.074492
0.960299 0.107522 0.074492
1.107956 0.089619 8.752419
0.778764 0.340440 8.752419
1.166190 0.132289 8.752419
0.666127 0.224973 8.752419
0.852816 0.230241 8.752419
0.582031 0.269615 8.752419
0.751185 0.291927 8.752419
0.670274 0.111352 8.745926
1.128607 0.216125 2.221009
0.893785 0.067362 2.221009
1.096335 0.051396 12.982391
1.000276 0.515285 12.982391
1.341778 0.256231 12.982391
0.999577 0.265994 12.982391
1.288821 0.399821 3.909163
1.019079 0.123739 3.909163
1.132936 0.561570 3.909163
1.020469 0.110676 3.909163
1.080413 0.067732 3.909163
1.030970 0.090309 0.331668
0.976162 0.336016 0.331668
1.084953 0.095680 0.331668
1.197352 0.203034 0.331668
1.123005 0.182754 0.331668
1.019557 0.113244 0.781660
1.172271 0.252874 0.781660
0.892227 0.092294 0.781660
1.275388 0.142309 0.781660
1.206092 0.379305 1.371349
1.528403 0.209319 0.312819
1.092848 0.089929 0.312819
1.234000 0.131554 0.312819
1.050642 0.099423 0.312819
1.188735 0.177592 0.312819
0.983436 0.176778 0.312819
1.177187 0.177656 0.312819
0.934801 0.156954 0.312819
1.134041 0.176649 0.312819
0.884921 0.136777 0.312819
1.088867 0.053947 0.312819
0.940496 0.117356 0.369176
1.025445 0.112013 0.369176
0.869554 0.173912 0.369176
1.006211 0.178126 0.369176
0.856888 0.208432 0.369176
1.114307 0.538302 0.369176
0.827426 0.380139 0.369176
1.177090 0.129973 0.369176
0.996567 0.122480 1.690893
1.132524 0.095103 1.690893
1.002332 0.077223 1.690893
1.121405 0.073278 1.690893
1.025316 0.145568 1.690893
1.144236 0.093048 1.690893
1.035213 0.066301 1.690893
1.092922 0.175271 1.690893
1.028771 0.125343 1.690893
1.089846 0.098503 1.690893
1.036733 0.123555 1.690893
1.280579 0.155081 0.736848
1.078531 0.059324 0.736848
1.004526 0.074186 0.736848
1.109634 0.071279 0.736848
1.089587 0.068836 0.736848
1.190875 0.105272 0.736848
1.081584 0.094027 0.736848
1.317310 0.195588 0.736848
1.053491 0.185147 0.736848
1.343629 0.175484 1.961032
0.814877 0.142583 1.961032
1.227826 0.116258 1.961032
0.982954 0.063985 1.961032
1.125562 0.084880 1.961032
0.948597 0.091265 1.961032
1.107716 0.098594 1.961032
0.899818 0.090281 1.961032
1.076007 0.177910 1.087526
0.834968 0.167551 1.087526
0.868859 0.092571 0.896558
0.875349 0.143432 0.896558
0.973473 0.241106 0.896558
0.779994 0.111147 0.896558
1.075821 0.094962 1.383043
0.901995 0.073942 0.947148
1.098619 0.124800 0.954235
0.954430 0.128256 1.032985
1.136504 0.104182 1.037817
0.999365 0.163801 1.037817
1.165533 0.172284 1.037817
1.018758 0.125724 1.037817
1.154565 0.129459 1.037817
1.043087 0.105093 1.037817
1.133794 0.056434 1.181165
1.041480 0.098532 1.168405
1.101074 0.079679 0.703079
1.053881 0.091384 0.703079
1.078638 0.058528 0.703079
1.061200 0.173194 0.703079
0.960274 0.137078 0.703079
1.088157 0.307333 0.703079
0.938931 0.127959 0.780936
1.156187 0.094643 0.780936
1.195001 0.091457 0.780936
1.276579 0.106815 0.780936
1.040850 0.196801 2.973027
1.473029 0.202717 2.973027
1.087961 0.224481 2.973027
1.346971 0.197965 2.973027
1.102429 0.123679 0.310395
1.196033 0.156224 0.310395
0.993431 0.161237 0.492561
1.165802 0.128400 0.492561
0.955244 0.112770 0.492561
1.120768 0.061135 0.492561
0.960785 0.222353 0.492561
1.094829 0.077322 0.492561
0.919186 0.096601 0.492561
0.868416 0.121402 0.492561
0.869551 0.187412 4.886310
1.206552 0.073033 4.886310
0.837823 0.277885 4.886310
1.131955 0.129574 4.886310
0.852285 0.058067 4.886310
1.112369 0.113848 4.886310
0.930159 0.079524 0.451605
1.144653 0.093661 0.451605
1.032445 0.067238 11.134788
1.207543 0.194181 11.134788
1.017535 0.225613 11.134788
1.298961 0.375103 11.134788
1.040618 0.201762 11.134788
1.242559 0.370092 11.134788
1.018671 0.199350 11.134788
1.151454 0.163109 11.134788
1.035225 0.125654 11.134788
0.896670 0.205945 0.882811
1.058185 0.072843 0.882811
0.936382 0.267293 0.882811
